"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
42,"Artist Coldblooded","A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California",2006,1,5,2.99,170,10.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'artist':1 'california':18 'challeng':14 'coldblood':2 'moos':11 'must':13 'reflect':5 'robot':8 'stun':4 'woman':16"
43,"Atlantis Cause","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank",2006,1,6,2.99,170,15.99,"G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'atlanti':1 'caus':2 'feminist':8 'fight':14 'hunter':11 'must':13 'shark':20 'tank':21 'technic':16 'thrill':4 'writer':17 'yarn':5"
44,"Attacks Hate","A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft",2006,1,5,4.99,113,21.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'abandon':23 'attack':1 'fast':5 'fast-pac':4 'feminist':20 'find':18 'hate':2 'mad':14 'mine':24 'must':17 'pace':6 'panorama':7 'scientist':15 'shaft':25 'technic':10 'writer':11"
45,"Attraction Newton","A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan",2006,1,5,4.99,83,14.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'ancient':18 'astound':4 'attract':1 'compos':8 'frisbe':11 'husband':16 'japan':19 'must':13 'newton':2 'panorama':5 'reach':14"
46,"Autumn Crow","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert",2006,1,3,4.99,108,13.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'autumn':1 'battl':15 'beauti':4 'cow':12 'crow':2 'dentist':8 'desert':21 'mad':11 'moos':17 'must':14 'sahara':20 'tale':5"
48,"Backlash Undefeated","A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery",2006,1,3,4.99,118,24.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'backlash':1 'car':19 'charact':5 'cow':14 'kill':17 'mad':9,13 'monasteri':22 'must':16 'scientist':10 'studi':6 'stun':4 'undef':2"
50,"Baked Cleopatra","A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery",2006,1,3,2.99,182,20.99,"G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'bake':1 'cleopatra':2 'drama':5 'forens':8 'husband':12 'monasteri':20 'must':14 'overcom':15 'psychologist':9 'stun':4 'waitress':17"
126,"Casualties Encino","A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery",2006,1,3,4.99,179,16.99,"G","2013-05-26 14:50:58.951","{Trailers}","'boy':18 'casualti':1 'chef':13 'encino':2 'face':16 'insight':4 'monasteri':21 'must':15 'pastri':12 'shark':9 'yarn':5"
55,"Barbarella Streetcar","A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery",2006,1,6,2.99,65,27.99,"G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'awe':5 'awe-inspir':4 'barbarella':1 'cat':13 'conquer':16 'dog':18 'feminist':10 'inspir':6 'monasteri':21 'must':15 'stori':7 'streetcar':2"
56,"Barefoot Manchurian","A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park",2006,1,6,2.99,129,15.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':19 'amus':20 'barefoot':1 'cat':8 'girl':16 'intrepid':4 'manchurian':2 'must':13 'park':21 'stori':5 'student':11 'vanquish':14"
58,"Beach Heartbreakers","A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia",2006,1,6,2.99,122,16.99,"G","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'beach':1 'display':5 'fate':4 'georgia':21 'heartbreak':2 'mad':11 'must':14 'outgun':15 'scientist':12 'shark':18 'soviet':20 'woman':8"
60,"Beast Hunchback","A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China",2006,1,3,4.99,89,22.99,"R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'ancient':20 'awe':5 'awe-inspir':4 'beast':1 'boy':18 'china':21 'defeat':16 'epistl':7 'hunchback':2 'inspir':6 'must':15 'squirrel':13 'student':10"
61,"Beauty Grease","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft",2006,1,5,4.99,175,28.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':21 'beauti':1 'compos':10 'display':7 'fast':5 'fast-pac':4 'greas':2 'mine':22 'moos':13 'must':15 'pace':6 'robot':18 'shaft':23 'sink':16"
64,"Beethoven Exorcist","A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico",2006,1,6,0.99,151,26.99,"PG-13","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'beethoven':1 'butler':16 'challeng':14 'display':5 'epic':4 'exorcist':2 'gulf':19 'mexico':21 'must':13 'pioneer':8 'student':11"
66,"Beneath Rush","A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station",2006,1,6,0.99,53,27.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'astound':4 'beneath':1 'discov':14 'first':19 'man':8,16,20 'monkey':11 'must':13 'panorama':5 'rush':2 'space':21 'station':22"
67,"Berets Agent","A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China",2006,1,5,2.99,77,24.99,"PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'agent':2 'ancient':19 'beret':1 'boy':11 'china':20 'crocodil':8 'must':13 'overcom':14 'saga':5 'taut':4 'technic':16 'writer':17"
68,"Betrayed Rear","A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank",2006,1,5,4.99,122,26.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'betray':1 'boat':9 'charact':5 'emot':4 'explor':17 'find':15 'must':14 'pioneer':12 'rear':2 'shark':20 'studi':6 'tank':21"
69,"Beverly Outlaw","A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station",2006,1,3,2.99,85,21.99,"R","2013-05-26 14:50:58.951","{Trailers}","'bever':1 'boat':11 'defeat':14 'documentari':5 'fanci':4 'first':19 'madman':16 'man':20 'must':13 'outlaw':2 'space':21 'station':22 'woman':8"
72,"Bill Others","A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention",2006,1,6,2.99,93,12.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'bill':1 'challeng':16 'convent':22 'forens':12 'mad':8 'must':15 'mysql':21 'other':2 'psychologist':13 'saga':5 'scientist':9 'squirrel':18 'stun':4"
73,"Bingo Talented","A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria",2006,1,5,2.99,150,22.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'bingo':1 'crocodil':11 'discov':14 'girl':8 'must':13 'nigeria':18 'tale':5 'talent':2 'touch':4 'waitress':16"
74,"Birch Antitrust","A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon",2006,1,4,4.99,162,18.99,"PG","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'antitrust':2 'baloon':19 'birch':1 'dog':16 'fanci':4 'husband':8 'must':13 'outgun':14 'panorama':5 'pioneer':11"
77,"Birds Perdition","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California",2006,1,5,4.99,61,15.99,"G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'bird':1 'bore':4 'california':18 'dog':16 'face':14 'must':13 'perdit':2 'pioneer':11 'stori':5 'woman':8"
78,"Blackout Private","A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan",2006,1,7,2.99,85,12.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'agent':19 'ancient':21 'blackout':1 'challeng':16 'chef':9 'intrepid':4 'japan':22 'mad':12 'must':15 'pastri':8 'privat':2 'scientist':13 'secret':18 'yarn':5"
80,"Blanket Beverly","A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria",2006,1,7,2.99,148,21.99,"G","2013-05-26 14:50:58.951","{Trailers}","'bever':2 'blanket':1 'boat':16 'build':14 'documentari':5 'emot':4 'girl':11 'must':13 'nigeria':18 'student':8"
82,"Blood Argonauts","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse",2006,1,3,0.99,71,13.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'argonaut':2 'blood':1 'bore':4 'drama':5 'explor':8 'kill':14 'lumberjack':16 'man':11 'manhattan':19 'must':13 'penthous':20"
83,"Blues Instinct","A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House",2006,1,5,2.99,50,18.99,"G","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes"",""Behind the Scenes""}","'abandon':20 'blue':1 'boat':8 'compos':11 'documentari':5 'forens':16 'fun':21 'hous':22 'insight':4 'instinct':2 'meet':14 'must':13 'psychologist':17"
85,"Bonnie Holocaust","A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan",2006,1,4,0.99,63,29.99,"G","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'ancient':20 'bonni':1 'crocodil':10 'fast':5 'fast-pac':4 'find':16 'holocaust':2 'japan':21 'moos':18 'must':15 'pace':6 'robot':13 'stori':7"
94,"Braveheart Human","A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin",2006,1,7,2.99,176,14.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'battl':15 'berlin':19 'braveheart':1 'chef':12 'dog':8 'girl':17 'human':2 'insight':4 'must':14 'pastri':11 'stori':5"
95,"Breakfast Goldfinger","A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin",2006,1,5,4.99,123,18.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'beauti':4 'berlin':18 'breakfast':1 'fight':14 'goldfing':2 'moos':16 'must':13 'reflect':5 'student':8,11"
97,"Bride Intrigue","A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans",2006,1,7,0.99,56,24.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'bride':1 'epic':4 'intrigu':2 'man':16 'monkey':11 'must':13 'new':18 'orlean':19 'robot':8 'tale':5 'vanquish':14"
99,"Bringing Hysterical","A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat",2006,1,7,2.99,136,14.99,"PG","2013-05-26 14:50:58.951","{Trailers}","'boat':22 'bring':1 'fate':4 'find':16 'hyster':2 'jet':21 'must':15 'saga':5 'shark':9 'technic':12 'woman':18 'writer':13"
100,"Brooklyn Desert","A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station",2006,1,7,4.99,161,21.99,"R","2013-05-26 14:50:58.951","{Commentaries}","'battl':14 'beauti':4 'brooklyn':1 'compos':11 'dentist':8 'desert':2 'drama':5 'first':20 'man':21 'must':13 'space':22 'station':23 'sumo':16 'wrestler':17"
101,"Brotherhood Blanket","A Fateful Character Study of a Butler And a Technical Writer who must Sink a Astronaut in Ancient Japan",2006,1,3,0.99,73,26.99,"R","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'ancient':20 'astronaut':18 'blanket':2 'brotherhood':1 'butler':9 'charact':5 'fate':4 'japan':21 'must':15 'sink':16 'studi':6 'technic':12 'writer':13"
103,"Bucket Brotherhood","A Amazing Display of a Girl And a Womanizer who must Succumb a Lumberjack in A Baloon Factory",2006,1,7,4.99,133,27.99,"PG","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'amaz':4 'baloon':19 'brotherhood':2 'bucket':1 'display':5 'factori':20 'girl':8 'lumberjack':16 'must':13 'succumb':14 'woman':11"
106,"Bulworth Commandments","A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback",2006,1,4,2.99,61,14.99,"G","2013-05-26 14:50:58.951","{Trailers}","'amaz':4 'bulworth':1 'command':2 'cow':9 'display':5 'mad':8 'must':14 'outback':21 'pioneer':12 'redeem':15 'sumo':17 'wrestler':18"
108,"Butch Panther","A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans",2006,1,6,0.99,67,19.99,"PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'administr':12 'butch':1 'databas':11 'face':15 'feminist':8 'hunter':17 'lacklustur':4 'must':14 'new':19 'orlean':20 'panther':2 'yarn':5"
109,"Butterfly Chocolat","A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank",2006,1,3,0.99,89,17.99,"G","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'butterfli':1 'chocolat':2 'compos':11 'conquer':14 'fate':4 'girl':8 'husband':16 'must':13 'shark':19 'stori':5 'tank':20"
112,"Calendar Gunfight","A Thrilling Drama of a Frisbee And a Lumberjack who must Sink a Man in Nigeria",2006,1,4,4.99,120,22.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Behind the Scenes""}","'calendar':1 'drama':5 'frisbe':8 'gunfight':2 'lumberjack':11 'man':16 'must':13 'nigeria':18 'sink':14 'thrill':4"
114,"Camelot Vacation","A Touching Character Study of a Woman And a Waitress who must Battle a Pastry Chef in A MySQL Convention",2006,1,3,0.99,61,26.99,"NC-17","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'battl':15 'camelot':1 'charact':5 'chef':18 'convent':22 'must':14 'mysql':21 'pastri':17 'studi':6 'touch':4 'vacat':2 'waitress':12 'woman':9"
116,"Candidate Perdition","A Brilliant Epistle of a Composer And a Database Administrator who must Vanquish a Mad Scientist in The First Manned Space Station",2006,1,4,2.99,70,10.99,"R","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'administr':12 'brilliant':4 'candid':1 'compos':8 'databas':11 'epistl':5 'first':21 'mad':17 'man':22 'must':14 'perdit':2 'scientist':18 'space':23 'station':24 'vanquish':15"
118,"Canyon Stock","A Thoughtful Reflection of a Waitress And a Feminist who must Escape a Squirrel in A Manhattan Penthouse",2006,1,7,0.99,85,26.99,"R","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'canyon':1 'escap':14 'feminist':11 'manhattan':19 'must':13 'penthous':20 'reflect':5 'squirrel':16 'stock':2 'thought':4 'waitress':8"
119,"Caper Motions","A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention",2006,1,6,0.99,176,22.99,"G","2013-05-26 14:50:58.951","{Trailers,Commentaries,""Deleted Scenes""}","'caper':1 'car':11 'convent':20 'fate':4 'moos':8 'motion':2 'must':13 'mysql':19 'pursu':14 'saga':5 'woman':16"
120,"Caribbean Liberty","A Fanciful Tale of a Pioneer And a Technical Writer who must Outgun a Pioneer in A Shark Tank",2006,1,3,4.99,92,16.99,"NC-17","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'caribbean':1 'fanci':4 'liberti':2 'must':14 'outgun':15 'pioneer':8,17 'shark':20 'tale':5 'tank':21 'technic':11 'writer':12"
121,"Carol Texas","A Astounding Character Study of a Composer And a Student who must Overcome a Composer in A Monastery",2006,1,4,2.99,151,15.99,"PG","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'astound':4 'carol':1 'charact':5 'compos':9,17 'monasteri':20 'must':14 'overcom':15 'student':12 'studi':6 'texa':2"
127,"Cat Coneheads","A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India",2006,1,5,4.99,112,14.99,"G","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes""}","'ancient':21 'boy':19 'cat':1 'conehead':2 'confront':17 'fast':5 'fast-pac':4 'girl':10 'india':22 'must':16 'pace':6 'panorama':7 'shark':14"
128,"Catch Amistad","A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria",2006,1,7,0.99,183,10.99,"G","2013-05-26 14:50:58.951","{Trailers,""Behind the Scenes""}","'amistad':2 'bore':4 'catch':1 'discov':14 'feminist':11 'lumberjack':8 'must':13 'nigeria':18 'reflect':5 'woman':16"
129,"Cause Date","A Taut Tale of a Explorer And a Pastry Chef who must Conquer a Hunter in A MySQL Convention",2006,1,3,2.99,179,16.99,"R","2013-05-26 14:50:58.951","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}","'caus':1 'chef':12 'conquer':15 'convent':21 'date':2 'explor':8 'hunter':17 'must':14 'mysql':20 'pastri':11 'tale':5 'taut':4"
130,"Celebrity Horn","A Amazing Documentary of a Secret Agent And a Astronaut who must Vanquish a Hunter in A Shark Tank",2006,1,7,0.99,110,24.99,"PG-13","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'agent':9 'amaz':4 'astronaut':12 'celebr':1 'documentari':5 'horn':2 'hunter':17 'must':14 'secret':8 'shark':20 'tank':21 'vanquish':15"
131,"Center Dinosaur","A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California",2006,1,5,4.99,152,12.99,"PG","2013-05-26 14:50:58.951","{""Deleted Scenes""}","'beauti':4 'california':20 'center':1 'charact':5 'dentist':13 'dinosaur':2 'dog':18 'find':16 'must':15 'studi':6 'sumo':9 'wrestler':10"
132,"Chainsaw Uptown","A Beautiful Documentary of a Boy And a Robot who must Discover a Squirrel in Australia",2006,1,6,0.99,114,25.99,"PG","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'australia':18 'beauti':4 'boy':8 'chainsaw':1 'discov':14 'documentari':5 'must':13 'robot':11 'squirrel':16 'uptown':2"
